,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
140,Immanuel Quickley,NYK,29,692,438,76,73,16,3,61,45.5,325,87.1,93,-0.38,-0.08,-1.10,-0.47,-1.05,-0.99,0.55,-0.53,0.65
141,Jamal Murray,DEN,18,535,356,71,103,14,14,44,47.0,281,90.6,53,-0.38,-0.57,-1.17,0.03,-1.26,-0.32,-0.07,-0.21,0.55
142,Isaiah Hartenstein,NYK,30,658,187,206,44,24,28,1,59.2,125,66.7,57,-0.40,-1.57,0.71,-0.95,-0.20,0.54,-1.65,0.82,-0.90
143,De'Andre Hunter,ATL,24,727,358,98,33,20,9,46,46.0,265,90.7,75,-0.41,-0.56,-0.80,-1.13,-0.63,-0.62,0.00,-0.33,0.81
144,Al Horford,BOS,25,663,188,177,71,11,25,36,46.7,152,100.0,10,-0.41,-1.57,0.31,-0.50,-1.58,0.36,-0.37,-0.08,0.16
145,Bilal Coulibaly,WAS,29,773,259,117,51,27,20,34,51.9,185,64.7,51,-0.41,-1.14,-0.53,-0.83,0.12,0.05,-0.44,0.41,-0.92
146,Dyson Daniels,NOP,31,719,193,125,84,42,10,21,40.9,181,66.7,36,-0.41,-1.54,-0.42,-0.28,1.70,-0.56,-0.92,-0.71,-0.59
147,Jalen Green,HOU,29,870,490,127,90,17,11,58,39.4,411,81.2,133,-0.42,0.23,-0.39,-0.18,-0.94,-0.50,0.44,-2.10,0.10
148,Andre Drummond,CHI,32,456,217,236,18,37,14,0,54.1,159,61.6,73,-0.43,-1.39,1.13,-1.38,1.18,-0.32,-1.69,0.56,-1.54
149,Cameron Johnson,BKN,23,656,344,110,57,19,3,58,47.7,266,78.0,41,-0.44,-0.64,-0.63,-0.73,-0.73,-0.99,0.44,-0.08,-0.15
150,Taurean Prince,LAL,29,899,295,85,51,22,14,63,44.4,241,75.0,24,-0.44,-0.93,-0.98,-0.83,-0.41,-0.32,0.63,-0.51,-0.19
151,Harrison Barnes,SAC,29,899,340,93,41,21,5,50,48.3,238,83.3,72,-0.44,-0.66,-0.87,-1.00,-0.52,-0.87,0.15,0.02,0.20
152,Jeremy Sochan,SAS,29,848,320,164,118,19,7,28,43.4,288,75.0,56,-0.46,-0.78,0.13,0.28,-0.73,-0.74,-0.66,-0.80,-0.37
153,Kevon Looney,GSW,30,643,160,233,81,20,8,0,56.8,118,72.2,36,-0.46,-1.73,1.09,-0.33,-0.63,-0.68,-1.69,0.62,-0.37
154,Miles Bridges,CHA,17,619,337,124,44,23,8,32,45.4,282,86.0,57,-0.47,-0.68,-0.43,-0.95,-0.31,-0.68,-0.51,-0.46,0.31
155,Moritz Wagner,ORL,30,565,345,125,36,13,10,15,61.3,222,77.3,75,-0.48,-0.63,-0.42,-1.08,-1.37,-0.56,-1.14,1.63,-0.29
156,Tim Hardaway,DAL,28,814,489,102,44,10,0,92,40.3,414,88.7,71,-0.49,0.22,-0.74,-0.95,-1.68,-1.17,1.69,-1.91,0.61
157,Kevin Huerter,SAC,28,701,296,108,76,19,9,56,42.5,261,78.3,23,-0.49,-0.92,-0.66,-0.42,-0.73,-0.62,0.37,-0.84,-0.10
158,Mark Williams,CHA,19,508,242,184,22,16,20,0,64.9,151,71.9,64,-0.50,-1.24,0.40,-1.31,-1.05,0.05,-1.69,1.45,-0.64
